Question,Answer
What is the purpose of the Leave Master page?,The Leave Master page allows administrators to configure and manage different types of leaves available to employees.
What is 'Leave Abbreviation'?,Leave Abbreviation is a short form or code used to represent a particular leave type for quick reference.
What is the 'File Id' used for?,"The File Id is a unique identifier for each leave type, ensuring easy tracking and management."
How can I change the 'Leave Color'?,"The Leave Color allows you to assign a specific color to each leave type, making it visually distinguishable in calendars or charts."
Why might I want to 'Attach Leave Image'?,"Attaching an image can provide a visual representation or icon for the leave type, enhancing user experience."
How do I edit the 'Leave Name'?,Click on the specific leave type and edit the 'Leave Name' field to modify it.
What does 'Validation is mandatory' mean?,This ensures that certain criteria or conditions are met before the leave can be approved or processed.
Is there a difference between 'Leave Master' listed twice?,It might be a repetition. Please check if both have the same functionalities or consult the software documentation.
How many leave types can I configure in Leave Master?,The software allows for multiple leave types
Can I delete a leave type once created?,"Yes, but ensure that no pending or approved leaves are associated with that type before deletion."
How do I set leave accrual rates?,Accrual rates might be set in another section of the software. Check the Leave Configuration or related modules.
Can I assign different colors to different leave types?,"Yes, using the 'Leave Color' feature, you can assign unique colors to each leave type."
What image formats are supported for 'Attach Leave Image'?,"Common formats like JPG, PNG, and GIF are supported, but check the software documentation for specifics."
How do I ensure that certain leaves require manager approval?,"By setting the 'Validation is mandatory' option, you can enforce approval processes."
Can I import leave types from another system?,This depends on HRMantra capabilities. Check the import/export options or consult the software documentation.
How do I reorder the 'Preference Order'?,Simply edit the number in the 'Preference Order' field for each leave type.
Can I customize the 'Leave Abbreviation'?,"Yes, you can set a unique abbreviation for each leave type."
What happens if two leave types have the same 'Preference Order'?,The software might order them alphabetically or based on creation date. It's best to assign unique preference numbers.
Can employees view the 'Leave Master' configurations?,"Only the administrators or HR personnel have access, but permissions can vary based on roles."
How do I add a new leave type?,There should be an 'Add' or 'Create New' button on the Leave Master page.
Can I set half-day or quarter-day leave configurations?,Yes
What's the significance of 'File Id'?,"It's a unique identifier, ensuring that each leave type is distinct and easily trackable."
Can I search for a specific leave type?,Yes
How do I update the 'Leave Color'?,Click on the color box or picker next to the leave type and choose a new color.
Can I use hex codes for 'Leave Color'?,Yes
How do I view the image attached to a leave type?,"Click on the 'Attach Leave Image' icon or link, and the image should be displayed."
Can I set different leave policies for different departments?,Yes
What should I do if I encounter an error on the Leave Master page?,"Document the error, take a screenshot if possible, and contact your software support team."
Can I export the leave configurations?,"Check the software's export functionalities, found in settings or admin sections."
How do I set default leaves for new employees?,Check the Leave Structure page
Can I set a maximum limit for each leave type?,Yes
How do I rename 'Leave Abbreviation'?,Click on the specific leave type and edit the 'Leave Abbreviation' field.
Can I merge two leave types?,Yes
How do I differentiate between paid and unpaid leaves?,"You can use the 'Leave Name' or 'Leave Abbreviation' to indicate this, or there might be a specific setting in the software."
Can I set automatic notifications for certain leave types?,Yes
How do I restrict certain leave types to specific employee groups?,Check the leave structure page
Can I view a history of changes made in Leave Master?,Yes
Can I set a minimum tenure for employees to avail certain leaves?,Yes
Can I customize the look of the Leave Master page?,Yes
How do I set carry-forward rules for leaves?,Check the Leave Structure page
Can I set a grace period for certain leave types?,Yes. Check the leave structure page
How do I troubleshoot issues with the Leave Master page?,"Consult the software documentation, user manual, or contact the support team."
Can I set automatic accruals for leave balances?,Yes
How do I get more help or training on the Leave Master page?,Click on the ? on the top right corner of every page
How do I set the 'Preference Order'?,The Preference Order determines the sequence in which leave types appear in listings. A lower number indicates a higher preference.
How does the leave year affect leave accrual?,"The ""Leave Year Starts From"" date determines when employees' leave balances reset or accrue, based on the organization's policy."
What does "Prohibit cancellation of approved leaves?" mean?,This feature allows the admin to restrict employees from cancelling leaves once they have been approved.
How can I configure the "Leave Options"?,Leave Options provides you with various settings to customize the leave process as per the organization's policy. Navigate to the feature and choose the preferred settings.
Can I set a custom start date for the "Leave Year"?,"Yes, using the ""Leave Year Starts From"" option, you can define the start date for the leave year in your organization."
How do I select a specific employee group for leave settings?,Select Employee Group allows you to apply specific leave settings to a particular group of employees. Navigate to this option and choose the desired group.
Are there different "Leave Options"?,"Yes, ""Leave Options"" can be found in multiple places offering varied functionalities. Ensure you are configuring the correct option based on your requirements."
Is it mandatory to validate leave applications?,"The ""Validation Is Mandatory"" feature decides this. If turned on, all leave applications must go through a validation process before approval."
Can employees apply for leave on the day they are present?,"If the ""Prohibit leave application on the day the employee is present?"" feature is enabled, employees cannot apply for leave on days they mark their attendance."
Why do we need to take attendance data from the payroll module?,"Taking attendance data from the Payroll Module helps in decoding the attendance field value, ensuring seamless integration between attendance and leave modules."
How does the "Prohibit cancellation of approved leaves?" feature benefit the organization?,"By prohibiting cancellation of approved leaves, organizations can maintain better roster management and avoid last-minute changes."
Can I set multiple leave years?,"No, the ""Leave Year Starts From"" feature allows you to define a single start date which will determine the leave year for the organization."
How do I change the "Leave Year Starts From" date?,Navigate to "Leave Year Starts From" and select the desired start date from the calendar dropdown.
Are there predefined employee groups?,"Yes, under ""Select Employee Group"", you can choose from existing groups or create new ones as per your requirements."
Can I customize the "Leave Options" further?,"Yes, ""Leave Options"" provides flexibility to adjust settings. Navigate through the options to make custom changes."
What happens if "Validation Is Mandatory" is turned off?,"If turned off, leave applications might get auto-approved or won't need a validation process."
Can an employee request an exception for applying leave on a present day?,"It depends on the organization's policy. If ""Prohibit leave application on the day the employee is present?"" is enabled, exceptions would need manual intervention."
Why is attendance data integration important?,"It ensures that there's no discrepancy between attendance and leaves, providing a holistic view of an employee's presence and absence."
Can I allow certain employee groups to cancel approved leaves?,"Yes, by configuring the ""Prohibit cancellation of approved leaves?"" and ""Select Employee Group"" settings, you can define exceptions."
